AVG: 407.9444444444444 31.555555555555557  MAX: 418.0833333333333 51.0  MIN: 394.9166666666667 17.666666666666668 
AVG: 290.4444444444444 1.0  MAX: 292.1666666666667 1.0  MIN: 287.5833333333333 1.0 
AVG: 290.4444444444444 1.0  MAX: 292.1666666666667 1.0  MIN: 287.5833333333333 1.0 
AVG: 290.3888888888889 1.0  MAX: 292.1666666666667 1.0  MIN: 287.5833333333333 1.0 
AVG: 290.1388888888889 1.0  MAX: 292.1666666666667 1.0  MIN: 286.8333333333333 1.0 
AVG: 289.5277777777778 1.0  MAX: 292.1666666666667 1.0  MIN: 285.0 1.0 
AVG: 289.4444444444445 1.0  MAX: 292.1666666666667 1.0  MIN: 285.0 1.0 
AVG: 289.1666666666667 1.0  MAX: 291.3333333333333 1.0  MIN: 285.0 1.0 
AVG: 289.1666666666667 1.0  MAX: 291.3333333333333 1.0  MIN: 285.0 1.0 
AVG: 288.9166666666667 1.0  MAX: 291.1666666666667 1.0  MIN: 285.0 1.0 
AVG: 288.5555555555556 1.0  MAX: 291.1666666666667 1.0  MIN: 283.9166666666667 1.0 
AVG: 288.52777777777777 1.0  MAX: 291.1666666666667 1.0  MIN: 283.9166666666667 1.0 
AVG: 288.52777777777777 1.0  MAX: 291.1666666666667 1.0  MIN: 283.9166666666667 1.0 
AVG: 288.4166666666667 1.0  MAX: 291.0 1.0  MIN: 283.75 1.0 
AVG: 288.4166666666667 1.0  MAX: 291.0 1.0  MIN: 283.75 1.0 
AVG: 288.4166666666667 1.0  MAX: 291.0 1.0  MIN: 283.75 1.0 
AVG: 287.6388888888889 1.0  MAX: 290.5 1.0  MIN: 283.75 1.0 
AVG: 287.3888888888889 1.0  MAX: 289.75 1.0  MIN: 283.75 1.0 
AVG: 287.3888888888889 1.0  MAX: 289.75 1.0  MIN: 283.75 1.0 
AVG: 287.3888888888889 1.0  MAX: 289.75 1.0  MIN: 283.75 1.0 
AVG: 286.9444444444445 1.0  MAX: 288.6666666666667 1.0  MIN: 283.5 1.0 
AVG: 286.9444444444445 1.0  MAX: 288.6666666666667 1.0  MIN: 283.5 1.0 
AVG: 286.9444444444445 1.0  MAX: 288.6666666666667 1.0  MIN: 283.5 1.0 
AVG: 286.9444444444445 1.0  MAX: 288.6666666666667 1.0  MIN: 283.5 1.0 
AVG: 286.9444444444445 1.0  MAX: 288.6666666666667 1.0  MIN: 283.5 1.0 
AVG: 286.8888888888889 1.0  MAX: 288.6666666666667 1.0  MIN: 283.3333333333333 1.0 
AVG: 286.6388888888889 1.0  MAX: 288.6666666666667 1.0  MIN: 283.3333333333333 1.0 
AVG: 286.47222222222223 1.0  MAX: 288.6666666666667 1.0  MIN: 282.8333333333333 1.0 
AVG: 286.47222222222223 1.0  MAX: 288.6666666666667 1.0  MIN: 282.8333333333333 1.0 
AVG: 285.8055555555556 1.0  MAX: 288.6666666666667 1.0  MIN: 282.8333333333333 1.0 
AVG: 285.3333333333333 1.0  MAX: 288.6666666666667 1.0  MIN: 282.8333333333333 1.0 
AVG: 285.2222222222222 1.0  MAX: 288.3333333333333 1.0  MIN: 282.8333333333333 1.0 
AVG: 284.8333333333333 1.0  MAX: 287.1666666666667 1.0  MIN: 282.8333333333333 1.0 
AVG: 284.8333333333333 1.0  MAX: 287.1666666666667 1.0  MIN: 282.8333333333333 1.0 
AVG: 284.75 1.0  MAX: 287.1666666666667 1.0  MIN: 282.5833333333333 1.0 
AVG: 284.6111111111111 1.0  MAX: 287.1666666666667 1.0  MIN: 282.5833333333333 1.0 
AVG: 284.3333333333333 1.0  MAX: 287.1666666666667 1.0  MIN: 282.5833333333333 1.0 
AVG: 284.3333333333333 1.0  MAX: 287.1666666666667 1.0  MIN: 282.5833333333333 1.0 
AVG: 284.0 1.0  MAX: 286.1666666666667 1.0  MIN: 282.5833333333333 1.0 
AVG: 284.0 1.0  MAX: 286.1666666666667 1.0  MIN: 282.5833333333333 1.0 
AVG: 284.0 1.0  MAX: 286.1666666666667 1.0  MIN: 282.5833333333333 1.0 
AVG: 283.5277777777778 1.0  MAX: 286.1666666666667 1.0  MIN: 281.1666666666667 1.0 
AVG: 283.5277777777778 1.0  MAX: 286.1666666666667 1.0  MIN: 281.1666666666667 1.0 
AVG: 283.5277777777778 1.0  MAX: 286.1666666666667 1.0  MIN: 281.1666666666667 1.0 
AVG: 283.5277777777778 1.0  MAX: 286.1666666666667 1.0  MIN: 281.1666666666667 1.0 
AVG: 283.5277777777778 1.0  MAX: 286.1666666666667 1.0  MIN: 281.1666666666667 1.0 
AVG: 283.5277777777778 1.0  MAX: 286.1666666666667 1.0  MIN: 281.1666666666667 1.0 
AVG: 283.3333333333333 1.0  MAX: 286.1666666666667 1.0  MIN: 281.1666666666667 1.0 
AVG: 283.3333333333333 1.0  MAX: 286.1666666666667 1.0  MIN: 281.1666666666667 1.0 
AVG: 283.3333333333333 1.0  MAX: 286.1666666666667 1.0  MIN: 281.1666666666667 1.0 
AVG: 283.3333333333333 1.0  MAX: 286.1666666666667 1.0  MIN: 281.1666666666667 1.0 
AVG: 283.3333333333333 1.0  MAX: 286.1666666666667 1.0  MIN: 281.1666666666667 1.0 
AVG: 283.3333333333333 1.0  MAX: 286.1666666666667 1.0  MIN: 281.1666666666667 1.0 
AVG: 283.3333333333333 1.0  MAX: 286.1666666666667 1.0  MIN: 281.1666666666667 1.0 
AVG: 283.3333333333333 1.0  MAX: 286.1666666666667 1.0  MIN: 281.1666666666667 1.0 
AVG: 283.3333333333333 1.0  MAX: 286.1666666666667 1.0  MIN: 281.1666666666667 1.0 
AVG: 283.3333333333333 1.0  MAX: 286.1666666666667 1.0  MIN: 281.1666666666667 1.0 
